,pobreza,P01F03,P15B02,P15B04,P15B06A,P13A02A,P06B01,P06B10A,P06B10B,P09A03B,P09A03C,P09B02B,P09B02C,P09F03B,P09F03C,P09F04B,P09F04C,P09F05B,P09F05C,P09F06B,P09F06C,P09F07B,P09F07C,P09F08B,P09F08C,P09F09B,P09F09C,P10B01,P10B08,P10B20B,P11A05B,P11A06B
2517,No pobre,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,400.0
2518,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.2,450.0,0.0,460.0,0.0
2519,No pobre,1200.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,7.5,2.25,15.0,0.5,250.0,0.0,0.0,757.5
2520,No pobre,0.0,700.0,0.0,1.0,0.0,4,0.0,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,0.0,6.666666666666667,0.5,9.166666666666666,0.16666666666666666,5.0,0.0,0.0,0.0,0.0,0.0,7.5,1.5,0.0,0.3333333333333333,1183.3333333333333,0.0,100.0,575.0
2521,No pobre,0.0,0.0,0.0,0.0,1.0,2,0.0,6.0,0.2,0.0,0.0,2.0,0.0,0.0,0.2,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0
2522,No pobre,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1400.0,0.0,0.0,0.0
2523,No pobre,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,333.3333333333333,0.0,0.0,0.0
2524,No pobre,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2525,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,6.0,0.2,627.0,0.0,0.0,0.0
2526,No pobre,0.0,0.0,0.0,0.0,1.0,4,0.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.5,1.0,3050.0,0.0,0.0,0.0
